City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Asau,RO,2021-01-22 01:39:32,46.4333,26.4,33.01,68,100,5.06
278,Alofi,NU,2021-01-22 01:32:08,-19.0595,-169.9187,86.0,74,75,12.66
279,Port Blair,IN,2021-01-22 01:30:58,11.6667,92.75,77.38,61,6,7.36
280,Ouallam,NE,2021-01-22 01:39:33,14.3188,2.0866,64.35,25,0,10.92
281,Port Hardy,CA,2021-01-22 01:39:33,50.6996,-127.4199,37.4,81,20,3.44
282,Cairns,AU,2021-01-22 01:31:38,-16.9167,145.7667,88.0,70,75,13.8
283,Fort Nelson,CA,2021-01-22 01:39:33,58.8053,-122.7002,17.6,86,75,3.44
284,Maningrida,AU,2021-01-22 01:39:33,-12.0667,134.2667,83.68,76,100,11.23
285,Chipoka,MW,2021-01-22 01:39:34,-13.9933,34.5157,74.48,82,100,6.55
286,Caravelas,BR,2021-01-22 01:39:34,-17.7125,-39.2481,75.13,81,3,4.21
287,Ayame,CI,2021-01-22 01:39:34,5.6083,-3.1563,74.32,95,3,2.33
288,Meybod,IR,2021-01-22 01:39:34,32.2501,54.0166,32.0,43,0,9.22
289,Dolinsk,RU,2021-01-22 01:39:34,47.35,142.8,12.2,79,40,4.47
290,Saiha,IN,2021-01-22 01:39:34,22.4833,92.9667,56.8,83,1,2.64
291,Chicama,PE,2021-01-22 01:31:56,-7.8447,-79.1469,70.93,77,83,5.68
292,Severnyy,RU,2021-01-22 01:39:34,50.677,36.5532,24.8,100,90,11.18
293,Christchurch,NZ,2021-01-22 01:39:35,-43.5333,172.6333,68.0,59,91,16.11
