City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
191,Aykhal,RU,66.0,111.5,-39.12,79,42,3.83,scattered clouds
192,Teya,RU,60.3778,92.6267,-12.6,86,100,1.88,overcast clouds
193,Chuy,UY,-33.6971,-53.4616,83.08,59,35,11.92,scattered clouds
194,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,40,4.61,scattered clouds
195,Luwingu,ZM,-10.2621,29.9271,68.45,93,100,3.65,moderate rain
196,Thinadhoo,MV,0.5333,72.9333,83.48,67,86,5.08,overcast clouds
197,Huarmey,PE,-10.0681,-78.1522,76.62,62,28,8.75,scattered clouds
198,Yakeshi,CN,49.2833,120.7333,0.81,92,17,2.15,few clouds
199,Tiarei,PF,-17.5333,-149.3333,77.0,78,20,3.44,few clouds
200,Kontagora,NG,10.3999,5.4695,96.57,10,37,3.09,scattered clouds
201,Esperance,AU,-33.8667,121.9,62.6,94,90,5.75,overcast clouds
202,Provideniya,RU,64.3833,-173.3,5.65,85,100,2.68,overcast clouds
203,Vestmannaeyjar,IS,63.4427,-20.2734,30.2,64,40,19.57,scattered clouds
204,Wau,SS,7.7029,27.9953,90.16,21,12,3.62,few clouds
205,Leningradskiy,RU,69.3833,178.4167,-10.55,86,100,5.64,overcast clouds
206,Guerrero Negro,MX,27.9769,-114.0611,59.61,72,76,4.52,broken clouds
207,Sault Sainte Marie,CA,46.5168,-84.3333,6.8,72,90,5.75,light snow
208,San Juan,AR,-31.5375,-68.5364,94.87,19,0,10.22,clear sky
209,Fortuna,US,40.5982,-124.1573,36.0,100,1,6.91,clear sky
210,Grand Gaube,MU,-20.0064,57.6608,81.0,69,10,4.0,clear sky
211,Namangan,UZ,40.9983,71.6726,28.4,46,96,4.61,overcast clouds
212,Ypsonas,CY,34.6884,32.9574,57.2,54,20,12.66,few clouds
213,Pisco,PE,-13.7,-76.2167,73.99,78,0,9.22,clear sky
214,Warmbad,NA,-28.45,18.7333,96.73,22,99,17.58,overcast clouds
215,Sosnovo-Ozerskoye,RU,52.5249,111.5418,8.13,94,100,6.29,overcast clouds
216,Olinda,BR,-8.0089,-34.8553,82.4,61,40,14.97,scattered clouds
217,Zaysan,KZ,47.4667,84.8667,4.37,84,100,1.52,snow
218,Gat,IL,31.61,34.7642,60.01,55,0,3.06,clear sky
219,Rawson,AR,-43.3002,-65.1023,70.57,57,0,19.33,clear sky
220,Ashtabula,US,41.7001,-80.7665,21.0,68,90,9.22,overcast clouds
221,Dwarka,IN,22.2394,68.9678,69.44,72,0,11.74,clear sky
222,Novaya Ladoga,RU,60.1025,32.3019,32.0,99,93,7.94,overcast clouds
223,Road Town,VG,18.4167,-64.6167,82.4,69,40,9.22,scattered clouds
224,Myrtle Beach,US,33.6891,-78.8867,51.01,44,0,14.52,clear sky
225,Castro,BR,-24.7911,-50.0119,74.7,77,86,4.36,overcast clouds
226,Gidam,IN,18.9833,81.4,66.65,47,0,1.23,clear sky
227,Mackay,AU,-21.15,149.2,77.0,73,40,11.5,scattered clouds
228,Toyooka,JP,35.5333,134.8333,45.73,89,100,7.85,light rain
229,Ketchikan,US,55.3422,-131.6461,32.0,93,90,5.75,overcast clouds
230,Longyearbyen,SJ,78.2186,15.6401,5.0,72,0,16.11,clear sky
231,Saldanha,ZA,-33.0117,17.9442,75.2,53,5,17.27,clear sky
232,Kresttsy,RU,58.2452,32.5165,34.68,97,100,6.93,overcast clouds
233,Gazanjyk,TM,39.2446,55.5154,30.42,91,0,12.41,clear sky
234,Sarandi,BR,-23.4436,-51.8739,78.8,83,0,3.44,clear sky
235,Funtua,NG,11.5233,7.3081,83.3,14,34,13.09,scattered clouds
236,Buchanan,LR,5.8808,-10.0467,89.6,66,75,8.05,haze
237,Kochevo,RU,59.5994,54.3125,-7.51,90,100,8.63,overcast clouds
238,Severo-Kurilsk,RU,50.6789,156.125,23.52,95,97,30.13,light snow
239,Ostrovnoy,RU,68.0531,39.5131,6.03,93,100,24.11,overcast clouds
240,Sao Domingos,BR,-13.3983,-46.3183,87.26,43,5,6.35,clear sky
241,Ixtapa,MX,20.7,-105.2,66.2,88,1,1.5,clear sky
242,Apatzingan,MX,19.0833,-102.35,57.2,82,90,2.04,overcast clouds
243,Tha Bo,TH,17.85,102.5814,72.0,78,0,2.59,clear sky
244,Batagay-Alyta,RU,67.8006,130.4114,-40.7,75,16,1.12,few clouds
245,Kodinsk,RU,58.6881,99.1844,-24.5,84,97,2.21,overcast clouds
246,Tuatapere,NZ,-46.1333,167.6833,54.0,66,94,7.0,overcast clouds
247,Bogale,MM,16.2833,95.4,68.52,61,0,7.09,clear sky
248,Jutai,BR,-5.1833,-68.9,82.87,82,99,1.61,light rain
249,Victoria,HK,22.2855,114.1577,66.99,79,0,6.15,clear sky
250,Sept-Iles,CA,50.2001,-66.3821,16.0,67,53,9.22,broken clouds
251,Varhaug,NO,58.6147,5.6457,35.6,87,40,5.75,scattered clouds
252,Ampanihy,MG,-24.7,44.75,80.71,70,70,3.78,moderate rain
253,Bouna,CI,9.2667,-3.0,97.02,9,0,6.04,clear sky
254,Carnarvon,AU,-24.8667,113.6333,75.2,64,40,14.97,scattered clouds
255,Barra Do Garcas,BR,-15.89,-52.2567,87.8,62,20,3.44,few clouds
256,Kijang,KR,35.2442,129.2139,50.0,57,90,13.8,light rain
257,Shingu,JP,33.7333,135.9833,52.32,89,100,10.11,light rain
258,Upernavik,GL,72.7868,-56.1549,22.01,79,95,6.85,overcast clouds
259,Chabahar,IR,25.2919,60.643,66.16,40,0,3.18,clear sky
